Output format is aligned.
Border style is 2.
Null display is "(null)".
== Per-year regular-season game count ==
+------+---------------+
|  yr  | regular_games |
| 2008 | divisionseries |        15 |
| 2008 | lcs            |        12 |
| 2008 | playoff        |         1 |
| 2008 | regular        |      2427 |
| 2008 | worldseries    |         5 |
| 2009 | allstar        |         1 |
| 2009 | divisionseries |        13 |
| 2009 | lcs            |        11 |
| 2009 | playoff        |         1 |
| 2009 | regular        |      2429 |
| 2009 | worldseries    |         6 |
| 2010 | allstar        |         1 |
| 2010 | divisionseries |        15 |
| 2010 | lcs            |        12 |
| 2010 | regular        |      2430 |
| 2010 | worldseries    |         5 |
| 2011 | allstar        |         1 |
| 2011 | divisionseries |        19 |
| 2011 | lcs            |        12 |
| 2011 | regular        |      2429 |
| 2011 | worldseries    |         7 |
| 2012 | allstar        |         1 |
| 2012 | divisionseries |        20 |
| 2012 | lcs            |        11 |
| 2012 | regular        |      2430 |
| 2012 | wildcard       |         2 |
| 2012 | worldseries    |         4 |
| 2013 | allstar        |         1 |
| 2013 | divisionseries |        18 |
| 2013 | lcs            |        12 |
| 2013 | playoff        |         1 |
| 2013 | regular        |      2430 |
| 2013 | wildcard       |         2 |
| 2013 | worldseries    |         6 |
| 2014 | allstar        |         1 |
| 2014 | divisionseries |        14 |
| 2014 | lcs            |         9 |
| 2014 | regular        |      2430 |
| 2014 | wildcard       |         2 |
| 2014 | worldseries    |         7 |
| 2015 | allstar        |         1 |
| 2015 | divisionseries |        19 |
| 2015 | lcs            |        10 |
| 2015 | regular        |      2429 |
| 2015 | wildcard       |         2 |
| 2015 | worldseries    |         5 |
| 2016 | allstar        |         1 |
| 2016 | divisionseries |        15 |
| 2016 | lcs            |        11 |
| 2016 | regular        |      2428 |
| 2016 | wildcard       |         2 |
| 2016 | worldseries    |         7 |
| 2017 | allstar        |         1 |
| 2017 | divisionseries |        17 |
| 2017 | lcs            |        12 |
| 2017 | regular        |      2430 |
| 2017 | wildcard       |         2 |
| 2017 | worldseries    |         7 |
| 2018 | allstar        |         1 |
| 2018 | divisionseries |        14 |
| 2018 | lcs            |        12 |
| 2018 | playoff        |         2 |
| 2018 | regular        |      2429 |
| 2018 | wildcard       |         2 |
| 2018 | worldseries    |         5 |
| 2019 | allstar        |         1 |
| 2019 | divisionseries |        18 |
| 2019 | lcs            |        10 |
| 2019 | regular        |      2429 |
| 2019 | wildcard       |         2 |
| 2019 | worldseries    |         7 |
