Output format is aligned.
Border style is 2.
Null display is "(null)".
== Global stattype distribution (all years, all 4 tables combined) ==
+----------+----------+---------+
| stattype |    n     |   pct   |
+----------+----------+---------+
| value    | 11865906 | 98.9303 |
| official |   122284 |  1.0195 |
| lower    |     4925 |  0.0411 |
| upper    |     1099 |  0.0092 |
+----------+----------+---------+
(4 rows)


== Per-table stattype distribution ==
+-----------+----------+---------+---------+
|    tbl    | stattype |    n    |   pct   |
| 1950 |         633 |    3121 |       20.2820 |
| 1951 |         535 |    3029 |       17.6626 |
| 1952 |         445 |    2941 |       15.1309 |
| 1953 |         501 |    2997 |       16.7167 |
| 1954 |         540 |    3024 |       17.8571 |
| 1955 |         512 |    2998 |       17.0781 |
| 1956 |         531 |    3027 |       17.5421 |
| 1957 |         401 |    2889 |       13.8802 |
| 1958 |         402 |    2892 |       13.9004 |
| 1959 |         382 |    2876 |       13.2823 |
| 1960 |         371 |    2863 |       12.9584 |
| 1961 |         325 |    3201 |       10.1531 |
| 1962 |         435 |    3697 |       11.7663 |
| 1963 |         265 |    3513 |        7.5434 |
| 1964 |         338 |    3606 |        9.3733 |
| 1965 |         265 |    3527 |        7.5135 |
| 1966 |         244 |    3484 |        7.0034 |
| 1967 |         220 |    3476 |        6.3291 |
| 1968 |         202 |    3468 |        5.8247 |
| 1969 |         364 |    4280 |        8.5047 |
| 1970 |         243 |    4155 |        5.8484 |
| 1971 |         190 |    4096 |        4.6387 |
| 1972 |         185 |    3939 |        4.6966 |
| 1973 |         233 |    4155 |        5.6077 |
| 1974 |          94 |    4012 |        2.3430 |
| 1975 |         156 |    4052 |        3.8500 |
| 1976 |          81 |    3985 |        2.0326 |
| 1977 |          95 |    4333 |        2.1925 |
| 1978 |          70 |    4304 |        1.6264 |
| 1979 |          91 |    4317 |        2.1079 |
| 1980 |          65 |    4305 |        1.5099 |
| 1981 |          22 |    2876 |        0.7650 |
| 1986 |           1 |    4249 |        0.0235 |
+------+-------------+---------+---------------+
(76 rows)


== Modern-era (>=1960) non-value spotcheck — RED FLAG if any year >0.1% ==
+------+-------------+---------+---------------+
|  yr  | non_value_n | total_n | non_value_pct |
